zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2004,2,24,11514.67,11314,11226,11460.67,11896.67,13160.67,15264.67,15479.33,14398.67,13160.67,12341.33,10988.67,10693.33,10282,10282.67,10682,10893.33,12141.33,13355.33,13829.33,13846.67,13277.33,12046.67,11284
1,2004,2,25,11076.67,11634,12147.33,12666.67,13398,15181.33,17872.67,18112,15150.67,12988,11931.33,10933.33,10003.33,9433.33,9077.33,9503.33,10370,11669.33,13766,14707.33,15064,14944.67,14146.67,13372.67
1,2004,2,26,13056,13145.33,13392.67,13820.67,14194,15580.67,17958,18194,16918,16358.67,15798.67,15371.33,14779.33,14579.33,14358.67,14970,15518.67,16128.67,16950,17030,16476,15642,14412,13258
1,2004,2,27,12760,12512.67,12664,12995.33,13326.67,14516,16865.33,16860,15113.33,13831.33,12786.67,12120,10886.67,9969.33,9350,9393.33,9762,10754.67,12516.67,13314.67,13872,13848,13542.67,13230
1,2004,2,28,13205.33,13354,13906.67,14301.33,14962.67,15912.67,17238,18019.33,16649.33,14695.33,13002,11574,10566,9759.33,9344.67,9151.33,9367.33,9769.33,10998.67,11763.33,11836,11736,11469.33,11348.67
1,2004,2,29,11260.67,11546,12050.67,12640.67,13189.33,14059.33,15270.67,16364.67,16078.67,14314,12423.33,10033.33,9892.67,9366.67,8917.33,8582.67,8969.33,9804,11175.33,12034,11914.67,11258.67,10502,9686
1,2004,3,1,8684.67,8950,9364,9816,10842.67,12718,15244,15066,12774.67,11325.33,10378.67,9544.67,8784.67,8520,8174.67,7970,8578,9467.33,10940.67,11656,11246.67,10688,9384.67,8421.33
1,2004,3,2,7710,7496.67,7450,7486,7746.67,9000,10918.67,10811.33,9482,8929.33,9032.67,8813.33,8905.33,8750.67,8634,8862.67,9007.33,9752.67,11134.67,11714.67,11280,10706,9540,8524
1,2004,3,3,8066,7965.33,8078,8287.33,8944.67,10350.67,12476.67,12552.67,11039.33,9732.67,9196,8526,8016,7871.33,7920.67,8103.33,8322,9035.33,10321.33,10876.67,10833.33,10045.33,8620.67,7488
1,2004,3,4,6914.67,6697.33,6684.67,6870.67,7038,8284,10433.33,10741.33,9448,8962,8613.33,8283.33,8096,8004.67,8016,8210,8521.33,9125.33,10336,11053.33,10762.67,9910.67,8642.67,7424
1,2004,3,5,6677.33,6263.33,6116.67,6215.33,6437.33,7449.33,9797.33,9894.67,9324,9081.33,8936.67,8569.33,8137.33,8018,8000,8141.33,8408.67,8874.67,9895.33,10178.67,9905.33,9500,8552.67,7657.33
1,2004,3,6,6915.33,6496,6276,6299.33,6194,6537.33,7348.67,8228.67,9429.33,10316,10577.33,10356.67,9962,9461.33,9102,8888,9036.67,9226,9830,10149.33,9904.67,9432.67,8536.67,7812.67
1,2004,3,7,7120.67,6878.67,6986.67,7178.67,7632.67,8438.67,9699.33,11322.67,11847.33,11212.67,10348.67,9548.67,9096.67,8857.33,8296.67,8084,8303.33,8967.33,9642.67,8622.67,8440,8481.33,9305.33,8332.67
1,2004,3,8,8226,8973.33,9367.33,9584.67,10246,11805.33,14008,14709.33,13464.67,12470,11990.67,11484.67,11325.33,11012,10976.67,11174,12096,13232.67,14682.67,15357.33,15190.67,14301.33,12797.33,11718
1,2004,3,9,11298,11293.33,11536.67,12015.33,12923.33,14544,17388,16760,14770.67,12620.67,11570,10966,10286,9958.67,9626,10062,11164,12494.67,13763.33,14222.67,14048.67,13538.67,12596.67,11688
1,2004,3,10,11308,11179.33,11251.33,11412.67,11960,13575.33,15689.33,15927.33,14670.67,13113.33,12286,11355.33,10444,10123.33,9803.33,9936,10118.67,11242.67,13047.33,14345.33,14825.33,14570,13898.67,13154.67
1,2004,3,11,13116,13519.33,14096,14492,15436.67,17232.67,19527.33,18590,14979.33,12503.33,11023.33,10106.67,9157.33,,8279.33,8407.33,8899.33,9820.67,11259.33,12178,11824,11412.67,10520.67,9444.67
1,2004,3,12,8847.33,8918.67,9046,9464,9970.67,11317.33,13776.67,13582.67,11922.67,10663.33,9998.67,9401.33,9056,8638.67,8328.67,8384,8808,9276,10518,11666.67,11944.67,11727.33,11392.67,10907.33
1,2004,3,13,10654.67,10719.33,11035.33,11586,12336,13317.33,14674.67,15298,14978.67,13878,12300,11221.33,10538.67,9874.67,9130,8998,9516.67,9822,11238,12365.33,12276.67,12150.67,11952.67,11340.67
1,2004,3,14,10726.67,10606,10716,10738,10991.33,11336,12229.33,13470.67,13927.33,12588,11069.33,10140.67,9625.33,9053.33,8540,8176.67,8434.67,9204,10377.33,11282.67,10780.67,9710,8788,7885.33
1,2004,3,15,7304.67,7215.33,7145.33,7309.33,7753.33,9180,11234,,10916.67,10051.33,9202,8544,8126,8146.67,7983.33,8040,8584.67,9212,10483.33,11365.33,10971.33,10216,9086.67,8002.67
1,2004,3,16,7180,7013.33,7100.67,7265.33,7638.67,9072,11298.67,11747.33,11290.67,11240.67,11257.33,11276.67,11314.67,11184.67,11384.67,11676.67,12387.33,13399.33,13979.33,14479.33,14155.33,13240.67,11923.33,10889.33
1,2004,3,17,10356,10416.67,10582,10612,11013.33,12544,14837.33,14608.67,12974.67,11933.33,11540,11139.33,10792.67,10127.33,9882,10638.67,11130,12424.67,13546,14399.33,14433.33,14150,13200.67,12314.67
1,2004,3,18,12026,12178,12083.33,12278.67,13190.67,14684,16278.67,15503.33,12950,11124,9840,9265.33,8737.33,,8390.67,8443.33,9011.33,10190,11540.67,12204.67,12316.67,11602.67,10462.67,9316.67
1,2004,3,19,8741.33,8687.33,8843.33,9010.67,9789.33,11237.33,13514,13004.67,11239.33,10405.33,9717.33,9089.33,8666,8384,8142,8076.67,8347.33,8870,9978.67,11056,11343.33,11270,10786,10199.33
1,2004,3,20,9905.33,10102.67,10637.33,,11914,13003.33,14615.33,15084.67,14072,12720,11728,10741.33,9996,9495.33,9037.33,8878,9083.33,9384,10151.33,10894.67,10721.33,9912,8713.33,7780.67
1,2004,3,21,7042.67,6720,6512.67,6582.67,6847.33,7290,,10050,11293.33,11539.33,11111.33,10528.67,10430.67,10132.67,9834.67,9954.67,10291.33,11444.67,13242,14594.67,14541.33,13826.67,13040,12453.33
1,2004,3,22,12146.67,12163.33,12368.67,12774.67,13638.67,15287.33,17416,17210.67,16328,15100,13756.67,12642.67,11914.67,11266.67,10802.67,10642.67,,12168.67,14383.33,16134,16413.33,15973.33,15070.67,14434.67
1,2004,3,23,14326.67,14702.67,15072.67,15573.33,16377.33,18236,20572,18768.67,15408.67,13328,11932,10543.33,9807.33,9406,8886,8801.33,9206.67,9914.67,11615.33,13335.33,13652.67,13389.33,12544.67,11769.33
1,2004,3,24,11682,11900.67,12318,12840.67,13630,15088.67,17242.67,16428,13610.67,11744,10392.67,9712,8975.33,8588,8334.67,8571.33,9062.67,9574,10794,11952.67,11888.67,11554.67,10470,9428
1,2004,3,25,9055.33,8952,9025.33,9082.67,9462,10611.33,12760.67,12462.67,10519.33,9163.33,8506.67,8276,7977.33,7822,7683.33,7891.33,8343.33,8921.33,9653.33,10823.33,10728.67,9958.67,8635.33,7455.33
1,2004,3,26,6739.33,6485.33,6457.33,6594.67,7058.67,8616.67,10926,10865.33,9670.67,8932,8474,7915.33,7806.67,7866.67,8052.67,8114,8460.67,8838,9536,10444.67,10137.33,9405.33,8384,7359.33
1,2004,3,27,6769.33,6312.67,6112,6174,6278,6849.33,7748,9004,9769.33,10030.67,10236.67,9952.67,9724,9420.67,9298.67,9468,9760.67,9976.67,10324.67,10628.67,10164,9384.67,8698,7872.67
1,2004,3,28,6932,6531.33,6418.67,6498,6692,6958,7850.67,9186.67,10231.33,10134,9590.67,9313.33,9130,8826.67,8528,8237.33,8211.33,8848,9573.33,10697.33,10488.67,9571.33,8656.67,7739.33
1,2004,3,29,7322,7150.67,7359.33,7736,8368,10224,12708,12571.33,11468.67,9995.33,8998.67,8364,8229.33,8090.67,8153.33,8121.33,8353.33,8858.67,9798.67,11401.33,11101.33,10236,8978.67,8158.67
1,2004,3,30,7801.33,7704,7835.33,8130,8777.33,10373.33,12799.33,13137.33,12311.33,11738.67,11518,10944.67,10587.33,10758,,11463.33,12171.33,13390.67,14163.33,14516.67,13722.67,12544,11094.67,10124
1,2004,3,31,9510,9341.33,9446,9340,9645.33,10958,13048.67,13393.33,12710.67,12185.33,11602,11217.33,10914,11000.67,10860,11036.67,11839.33,12768,13486,13534.67,13378,12664,11328.67,10006.67
1,2004,4,1,9396.67,9285.33,9277.33,9400.67,9806.67,11241.33,13217.33,12766.67,11190.67,10151.33,9806,9386.67,8851.33,8746,8678.67,9202.67,10282,11589.33,12768,13681.33,13624.67,13054,11692,10582
1,2004,4,2,10160,10084,10088,10193.33,10638.67,12051.33,14132.67,13912.67,,11492.67,10854,10514,9925.33,9618.67,9434,9507.33,10030.67,11146,12175.33,12922.67,13025.33,12656,12109.33,10923.33
1,2004,4,3,10591.33,10355.33,10448,10641.33,,11588,12688.67,13467.33,13744,12801.33,11670.67,10598,10347.33,9886,9371.33,8962.67,9359.33,,10725.33,11859.33,11570.67,11174.67,10756,10015.33
1,2004,4,4,9376.67,9206,9205.33,9204.67,9333.33,9972.67,10480,12237.33,13868,13585.33,12718,12228.67,11956.67,11452,11020.67,10684.67,10749.33,11133.33,11662,13055.33,14612,14152,12996.67,11852
1,2004,4,5,11319.33,11383.33,11461.33,11592.67,12100.67,13372.67,15555.33,15913.33,14334.67,13342.67,12292.67,11304,10514,10178.67,9582,9279.33,9640.67,9906,10650,11835.33,13436,13362,12316.67,11418
1,2004,4,6,10851.33,10953.33,11242,11687.33,12354,13780.67,16174,16120,13640,11879.33,10753.33,9786.67,9016,8528,8052,8064.67,8514.67,8729.33,9130,9920,11268,10894,9493.33,8098.67
1,2004,4,7,7460.67,7350,7449.33,7827.33,8477.33,10004.67,12422,12714,11096,9810.67,9224.67,8652,8377.33,8040.67,7946,8249.33,8540.67,9022.67,9232.67,9616,10826.67,10670,9256,7693.33
1,2004,4,8,6770,6528,6346,6297.33,6736,7923.33,10142,10684.67,9972.67,9354,8857.33,8450,8324.67,8194,7985.33,8084.67,8602.67,9094,9674,10060.67,11030,10859.33,9572.67,7820
1,2004,4,9,6863.33,6406.67,6191.33,6366,6806,7866,10050,11062,10226,9760,9318,8830,8541.33,8356.67,8334,8386,8805.33,9082.67,9185.33,9598,10520.67,9892.67,9002.67,7937.33
1,2004,4,10,7096,6797.33,6792,7100.67,,8105.33,9348.67,11154.67,12398,,11390,10699.33,10297.33,9812.67,9509.33,9729.33,9896.67,10030,10007.33,10380.67,11042,10614,9526.67,8481.33
1,2004,4,11,7483.33,7159.33,6904.67,6953.33,7148.67,7619.33,8367.33,9744,11570,11909.33,10828.67,9967.33,10078,9874.67,9431.33,9526.67,9842.67,10056.67,10474,10942.67,11438,11019.33,10587.33,9726
1,2004,4,12,8976.67,8818,8866.67,9010,9304,10177.33,11443.33,12415.33,12898,13262,13371.33,13489.33,13120,12769.33,12696.67,12712,,13422,13757.33,13563.33,13193.33,12672,11565.33,10432
1,2004,4,13,9562.67,9200,9162.67,9206,9603.33,10588.67,11846,12371.33,,12722.67,12835.33,12398,11970,11968,11430,10528.67,9446,9372,9620.67,10201.33,11288.67,11027.33,10106,8994.67
1,2004,4,14,8376,8118,8149.33,8394,8836,9568,10774,11263.33,11356.67,11350,11726,11644.67,11389.33,11406.67,11398,11648,11894,12320.67,13016.67,13460,13624,13065.33,11852.67,10823.33
1,2004,4,15,10234,10014,10088,10314.67,10733.33,11833.33,13156.67,13223.33,12098.67,11128,10366.67,9544,9082.67,8492,8289.33,8355.33,8409.33,8695.33,8977.33,9454,10432,10434,9370.67,8390.67
1,2004,4,16,7711.33,7576.67,7743.33,8227.33,9033.33,10545.33,12468,12937.33,11699.33,10504.67,9396,8826.67,8760.67,8258,8030.67,8046.67,8474.67,9010.67,9338,9321.33,10305.33,10071.33,9189.33,8103.33
1,2004,4,17,7116,6685.33,6677.33,6820.67,7181.33,7992,9219.33,10352.67,10570.67,10084,9576.67,9292.67,9216.67,9324,9587.33,9696,10035.33,10344,10360,10358.67,11146.67,10648,9609.33,8360
1,2004,4,18,7444,6730.67,6251.33,6158,6185.33,6430.67,6802.67,8052,9748.67,10540.67,10491.33,10232.67,10379.33,10731.33,10974.67,11352,11768,12340,12392.67,12365.33,13284,12751.33,10882,9055.33
1,2004,4,19,7836.67,7135.33,6770.67,6490,6668.67,7560.67,9316,9583.33,9113.33,8916,9251.33,9780,10254.67,10604.67,11082,11573.33,12312.67,12741.33,12476,12451.33,12942.67,12398.67,10492.67,8862
1,2004,4,20,7628.67,7040.67,6657.33,6312.67,6588.67,7453.33,9208.67,9562,8918.67,9014,9283.33,9734.67,10342,11014,11376.67,12022,12638,12720,12318.67,12098,12174,11269.33,9517.33,8112
1,2004,4,21,7192.67,6677.33,6455.33,6160.67,6430,7570,9487.33,9840,9052,8764.67,8932,8887.33,9578.67,10104.67,10476.67,10760,11186,11668.67,11498,11328,11870,11389.33,9802.67,8123.33
1,2004,4,22,6693.33,6508,6230,6086.67,6223.33,7270.67,9331.33,9777.33,8949.33,8764,9088.67,9080.67,9500.67,10074.67,10386.67,10890,11420.67,11699.33,11609.33,11716,12462.67,12015.33,10110,8338
1,2004,4,23,7299.33,6789.33,6501.33,6192.67,6345.33,7294,8894.67,9392.67,8880,8942.67,9378.67,9814,10452.67,10951.33,11134.67,11109.33,11275.33,11225.33,11210.67,10982,11633.33,11436,10178,8737.33
1,2004,4,24,,6842.67,6513.33,6320.67,6316.67,6654,7364,8624,9730,10367.33,10766,10897.33,11145.33,11142.67,11618,12105.33,12852.67,13221.33,12806,11858.67,12024.67,11362.67,10065.33,8576.67
1,2004,4,25,7356.67,6733.33,6305.33,6152.67,6086,6154.67,6474.67,7624.67,9513.33,10066.67,9924,9603.33,9718,9742.67,9602.67,9932.67,10458,10670.67,10874.67,11172,11926.67,11516,9963.33,8383.33
1,2004,4,26,7241.33,6846.67,6559.33,6460.67,6670.67,7474.67,9294,9630,9041.33,8969.33,9075.33,9087.33,9172,8902.67,8487.33,8684,9272,9832,10416.67,10486,10780.67,10239.33,9010.67,7758
1,2004,4,27,,6541.33,6448,6522.67,6884.67,8129.33,10236.67,10266,9154,8544,8505.33,8430.67,8200.67,8201.33,7858,8279.33,8768,9218,9736,10157.33,11046.67,11078.67,10100,9092.67
1,2004,4,28,8393.33,8230.67,8261.33,8500,9036.67,10630,13180.67,13014,10933.33,9690,9176,8714,8356.67,8228,7817.33,7844.67,8319.33,9044,9320.67,9518,10434,10394,9070.67,7766.67
1,2004,4,29,6947.33,6756.67,6735.33,6922.67,7434,8890,11206,11342,9672.67,8987.33,8540.67,8154.67,8142.67,8330,8270,8466,8962,9492.67,9866.67,10020.67,10799.33,10570.67,9133.33,7629.33
1,2004,4,30,,6441.33,6107.33,6165.33,6587.33,7731.33,9696.67,10101.33,9290,8926,8519.33,8178.67,8473.33,8397.33,8200,8337.33,8657.33,8993.33,9132.67,9480.67,10235.33,9972.67,9130.67,7996.67
1,2004,5,1,6982,6505.33,6220.67,6206,6236,6535.33,7556,8440,9453.33,9828,9906,9888,9526.67,9438,9489.33,9948,9998.67,9953.33,9940.67,10084.67,10396.67,10088,9202,8022.67
